BOARD_ID,PURCHASE,LENGTH,PARTS,USED,REMAINDER,YIELD_PCT,BF
4x6x8-01,4x6x8,96.0,['L-001:67.0'],67.0,29.0,69.8,16.0
4x6x8-02,4x6x8,96.0,['L-002:67.0'],67.0,29.0,69.8,16.0
4x6x8-03,4x6x8,96.0,['L-003:67.0'],67.0,29.0,69.8,16.0
4x6x8-04,4x6x8,96.0,['L-004:67.0'],67.0,29.0,69.8,16.0
4x6x8-05,4x6x8,96.0,"['F-003:41.5', 'F-003:41.5']",83.125,12.875,86.6,16.0
4x6x8-06,4x6x8,96.0,"['F-003:41.5', 'F-003:41.5']",83.125,12.875,86.6,16.0
4x6x16-01,4x6x16,192.0,['F-001:155.0'],155.0,37.0,80.7,32.0
4x6x16-02,4x6x16,192.0,['F-002:155.0'],155.0,37.0,80.7,32.0
2x10x10-01,2x10x10,120.0,['R-001:104.5'],104.5,15.5,87.1,16.67
2x10x10-02,2x10x10,120.0,['R-003:104.5'],104.5,15.5,87.1,16.67
2x10x10-03,2x10x10,120.0,['R-005:104.5'],104.5,15.5,87.1,16.67
2x10x10-04,2x10x10,120.0,['R-007:104.5'],104.5,15.5,87.1,16.67
2x8x12-01,2x8x12,144.0,"['C-001:105.0', 'C-002:4.5']",109.625,34.375,76.1,16.0
2x6x10-01,2x6x10,120.0,['R-002:104.5'],104.5,15.5,87.1,10.0
2x6x10-02,2x6x10,120.0,['R-004:104.5'],104.5,15.5,87.1,10.0
2x6x10-03,2x6x10,120.0,['R-006:104.5'],104.5,15.5,87.1,10.0
2x6x10-04,2x6x10,120.0,['K-001:104.5'],104.5,15.5,87.1,10.0
2x6x8-01,2x6x8,96.0,"['G-001:62.625', 'G-003:30.5']",93.25,2.75,97.1,8.0
2x6x8-02,2x6x8,96.0,"['G-002:62.625', 'G-004:30.5']",93.25,2.75,97.1,8.0
2x6x8-03,2x6x8,96.0,"['G-008:59.61', 'G-005:30.5']",90.235,5.765,94.0,8.0
2x6x8-04,2x6x8,96.0,"['F-005:44.0', 'F-005:44.0']",88.125,7.875,91.8,8.0
2x6x8-05,2x6x8,96.0,"['G-006:30.5', 'G-007:30.5', 'G-009:28.0']",89.25,6.75,93.0,8.0
2x6x8-06,2x6x8,96.0,"['G-009:28.0', 'G-009:28.0', 'G-009:28.0']",84.25,11.75,87.8,8.0
2x6x8-07,2x6x8,96.0,"['G-009:28.0', 'G-009:28.0', 'G-009:28.0']",84.25,11.75,87.8,8.0
2x6x8-08,2x6x8,96.0,"['F-006:25.456', 'F-006:25.456', 'F-006:25.456']",76.618,19.382,79.8,8.0
2x6x8-09,2x6x8,96.0,['F-006:25.456'],25.456,70.544,26.5,8.0
2x2x8-01,2x2x8,96.0,"['T-001:7.0', 'T-001:7.0', 'T-001:7.0', 'T-001:7.0', 'T-001:7.0', 'T-001:7.0', 'T-001:7.0', 'T-001:7.0', 'T-001:7.0', 'T-001:7.0', 'T-001:7.0', 'T-001:7.0', 'T-001:7.0']",92.5,3.5,96.4,2.67
2x2x8-02,2x2x8,96.0,"['T-001:7.0', 'T-001:7.0', 'T-001:7.0', 'T-001:7.0', 'T-001:7.0', 'T-001:7.0', 'T-001:7.0', 'T-001:7.0', 'T-001:7.0', 'T-001:7.0', 'T-001:7.0', 'T-001:7.0', 'T-001:7.0']",92.5,3.5,96.4,2.67
2x2x8-03,2x2x8,96.0,"['T-001:7.0', 'T-001:7.0', 'T-001:7.0', 'T-001:7.0', 'T-001:7.0', 'T-001:7.0', 'T-001:7.0', 'T-001:7.0', 'T-001:7.0', 'T-001:7.0']",71.125,24.875,74.1,2.67
2x4x8-01,2x4x8,96.0,"['W-001:5.5', 'W-001:5.5', 'W-001:5.5', 'W-001:5.5', 'W-001:5.5', 'W-001:5.5', 'W-001:5.5', 'W-001:5.5', 'W-001:5.5', 'W-001:5.5', 'W-001:5.5', 'W-001:5.5', 'W-001:5.5', 'W-001:5.5', 'W-001:5.5', 'W-001:5.5']",89.875,6.125,93.6,5.33
oak_1x4x4-01,oak_1x4x4,48.0,"['G-010:18.0', 'W-003:4.0', 'W-003:4.0', 'W-002:2.25', 'W-002:2.25', 'W-002:2.25', 'W-002:2.25', 'W-002:2.25', 'W-002:2.25', 'W-002:2.25', 'W-002:2.25', 'W-002:2.25']",47.625,0.375,99.2,1.33
oak_1x4x4-02,oak_1x4x4,48.0,"['W-002:2.25', 'W-002:2.25', 'W-002:2.25', 'W-002:2.25', 'W-002:2.25']",11.75,36.25,24.5,1.33
